1001001, 50
1001002, 47205
1001003, 12270
1001004, 1566
1001005, 148
1001007, 1950
1001008, 3109
1001009, 284
1001010, 10200
1001011, 4210
1001012, 11405
1001013, 9144
1001014, 754
1001015, 16970
1001016, 1350
1001017, 13462
1001018, 10300
1001019, 8510
1001020, 1060
1001021, 2963
1001022, 4026
1001024, 7154
1001025, 1900
1001026, 2401
1001027, 402
1001028, 2114
1001029, 978
1001030, 5401
1001031, 9300
1001032, 772
1001033, 1942
1001034, 21000
1001035, 13104
1001037, 1490
1001038, 2060
1001039, 24920
1001041, 2586
1001043, 4100
1001046, 820
1001047, 390
1001048, 4430
1001050, 19600
1001051, 2350
1001052, 270
1001053, 1000
1001054, 205
1001055, 3650
1001057, 13310
1001058, 6070
1001059, 40
1001060, 140
1001061, 1100
1001062, 152
1001063, 1123
1001064, 845
1001065, 676
1001066, 840
1001067, 104
1001069, 1416
1001070, 6300
1001072, 820
1001073, 670
1001074, 193
1001075, 3400
1001076, 4200
1001077, 1508
1001078, 10900
1001079, 1250
1001080, 200
1001081, 604
1001082, 7072
1001083, 2866
1001084, 5355
1001086, 978
1001087, 6074
1001088, 2600
1001089, 2302
1001090, 1140
1001091, 800
1001092, 200
1001094, 5986
1001096, 227
1001097, 3737
1001098, 4784
1001099, 2001
1001100, 1
1001101, 1581
1001102, 274
1001104, 3101
1001105, 16503
1001107, 11000
1001108, 12200
1001110, 742
1001111, 9400
1001112, 205
1001113, 3570
1001115, 229
1001116, 1027
1001117, 409
1001118, 637
1001120, 647
1001121, 2130
1001122, 330
1001123, 538
1001124, 14320
1001125, 78
1001126, 427
1001127, 2665
1001128, 430
1001129, 3048
1001132, 1010
1001133, 5634
1001134, 527
1001135, 3315
1001136, 613
1001137, 2010
1001138, 380
1001139, 3154
1001140, 1135
1001141, 1686
1001142, 28
1001143, 2184
1001144, 4392
1001145, 30100
1001146, 11978
1001147, 4450
1001148, 482
1001149, 1582
1001151, 25801
1001152, 27298
1001153, 4205
1001154, 5631
1001155, 8309
1001157, 3782
1001158, 10234
1001159, 45
1001160, 35300
1001161, 33
1001162, 2036
1001163, 35
1001164, 633
1001166, 5100
1001167, 1722
1001168, 253
1001170, 6565
1001171, 13926
1001172, 318
1001173, 8767
1001174, 253
1001175, 14
1001176, 120
1001178, 1928
1001179, 2372
1001180, 300
1001181, 1930
1001182, 1222
1001183, 2022
1001184, 480
1001187, 11966
1001188, 2140
1001189, 979
1001190, 14
1001191, 51750
1001192, 452
1001193, 1136
1001194, 1404
1001195, 20
1001196, 1050
1001197, 796
1001198, 30
1001200, 1200
1001201, 53701
1001202, 510
1001204, 800
1001205, 4200
1001207, 9879
1001208, 22
1001209, 4000
1001210, 324
1001211, 53889
1001213, 340
1001214, 385
1001215, 8448
1001216, 1800
1001218, 899
1001219, 1182
1001220, 565
1001222, 30
1001224, 6085
1001225, 1103
1001226, 224
1001227, 1161
1001228, 300
1001230, 2902
1001231, 21460
1001232, 9510
1001233, 635
1001234, 6303
1001235, 5000
1001236, 1100
1001237, 574
1001238, 1272
1001239, 538
1001241, 5
1001242, 553
1001243, 418
1001244, 1025
1001245, 106
1001247, 20601
1001248, 2880
1001249, 440
1001250, 490
1001251, 700
1001252, 1953
1001253, 30
1001254, 180
1001255, 12500
1001256, 110
1001257, 200
1001258, 7084
1001259, 30
1001260, 90
1001261, 5233
1001262, 700
1001265, 60
1001266, 10
1001267, 20
1001269, 10
1001271, 1140
1001272, 60
1001273, 2180
1001274, 60
1001275, 400
1002001, 18
1002003, 304
1002004, 2034
1002005, 42
1002007, 840
1002008, 50
1002009, 338
1002010, 460
1002011, 75
1002012, 82
1002013, 168
1002014, 2
1002015, 48
1002017, 230
1002018, 65
1002019, 9
1002020, 113
1002021, 23
1002022, 14
1002023, 66
1002024, 7
1002025, 4
1002026, 2
1002027, 2
1002028, 125
1002029, 57
1002030, 150
1002031, 4600
1002032, 2340
1002033, 245
1002034, 1770
1002035, 329
1002036, 900
1002037, 1
1002038, 8
1002039, 11160
1002040, 6
1002041, 102
1002042, 12
1002043, 9
1002044, 5
1002046, 400
1002047, 1
1002051, 100
1003001, 29
1003002, 13
1003003, 109
1003004, 110
1003005, 42
1003006, 44
1003007, 3
1003008, 24
1003009, 78
1003010, 101
1003011, 85
1003012, 7
1003013, 71
1003015, 11
1003017, 306
1003018, 23
1003020, 3
1003024, 4
1003025, 6
1003026, 62
1003027, 2
1003028, 4
1003029, 8
1003030, 13
1003031, 5
1003032, 3
1003034, 20
1003035, 22
1003036, 4
1003037, 6
1003038, 2
1003039, 4
1004001, 5
1004002, 7
1004003, 5
1004004, 349
1004006, 18
1004007, 9
1004008, 57
1004009, 27
1004010, 61
1004011, 4
1004012, 54
1004013, 38
1004014, 12
1004015, 22
1004016, 55
1004017, 509
1004018, 2
1004019, 11
1004020, 25
1004021, 10
1004022, 10
1004023, 8
1004024, 694
1004025, 2
1004026, 12
1004027, 7
1004028, 28
1004029, 51
1004030, 1000
1004031, 3
1004032, 9
1004033, 2
1005001, 75
1005002, 52
1005004, 66
1005005, 25
1005006, 145
1005007, 138
1005009, 2
1005010, 877
1005011, 110
1005012, 158
1005013, 1280
1005014, 14
1005015, 74
1005016, 522
1005017, 466
1005018, 158
1005019, 404
1005021, 15
1005022, 6
1005023, 496
1005024, 4770
1005026, 59
1005027, 22
1005031, 123
1005032, 454
1005033, 85
1005034, 390
1005035, 168
1005036, 4
1005037, 63
1005039, 23
1005040, 4523
1005041, 834
1005042, 165
1005043, 3415
1005044, 342
1005045, 486
1005046, 1210
1005047, 17
1005048, 3
1005049, 260
1005050, 7
1005051, 2658
1005052, 1034
1005053, 29
1005054, 27
1005055, 20
1005057, 26
1005058, 1036
1005059, 80
1005060, 28
1005062, 9
1005063, 5
1005064, 21
1005065, 20
1005066, 60
1005067, 123
1005068, 674
1005069, 44
1005070, 54
1005071, 179
1005072, 57
1005073, 41
1005074, 297
1005075, 1423
1005076, 3604
1005077, 182
1005078, 220
1005079, 213
1005080, 167
1005081, 524
1005082, 2524
1005083, 110
1005086, 3400
1005087, 23
1005088, 144
1005089, 33
1005090, 666
1005091, 541
1005092, 4
1005093, 16
1005094, 65
1005095, 635
1005096, 399
1005097, 291
1005098, 171
1005099, 232
1005100, 392
1005101, 70
1005102, 10536
1005103, 1626
1005104, 2
1005106, 6
1005107, 535
1005108, 149
1005109, 950
1005110, 10
1005111, 11
1005112, 20
1005114, 66
1005117, 14840
1005118, 13
1005119, 150
1005120, 11
1005121, 10
1005122, 177
1005123, 28
1005124, 294
1005125, 68
1005126, 90
1005127, 20
1005128, 6
1005129, 1
1005130, 1000
1005131, 160
1005132, 18
1005133, 74
1005134, 20
1005135, 29
1005136, 12
1005137, 6
1005138, 40
1006001, 65
1006005, 2
1006006, 109
1006007, 12
1007002, 39
1007003, 3
1007004, 28
1007005, 105
1007006, 118
1007009, 29
1007012, 89
1007013, 22
1007015, 76
1007018, 2
1007019, 2
1007020, 15
1007021, 195
1007022, 4
1007023, 93
1007024, 3
1007025, 161
1007026, 5
1007027, 3
1007028, 17
1007029, 87
1007031, 7
1007032, 35
1007036, 3
1007038, 18
1007039, 7
1007040, 203
1007041, 133
1007042, 5
1007043, 3
1007044, 23
1007045, 23
1007047, 3
1007048, 39
1007050, 13
1007051, 45
1007053, 305
1007054, 55
1007055, 269
1007057, 60
