1110 - 1 for period 13 to 24
1110,15, Payment - GL,1262,18/09/2012,150000,,Registration of ordinary shares,
1110, 15, Period Total,,,150000
1110,16, Payment - GL,1430,03/10/2012,50000,,Regestration Fees,
1110, 16, Period Total,,,50000
1110,22, Payment - GL,3154,11/04/2013,50000,,Board resolution registration,
1110, 22, Period Total,,,50000
1110,24, Total Period Movement,,,250000
